А
Абакус Прайм, СЭ 280 
Абакус Ультра, СЭ 279 
Абига-Пик, ВС 377 
Абидос, ВР 709 
Абруста, КС 275 
Аваксс, КЭ 299 
Авангард, КЭ 617 
Авант, КЭ 96 
Авантикс 100, КЭ 664 
Авантикс Турбо, МД 673 
Авантикс Экстра, ЭМВ 664 
Авиаль, КЭ 326 
Аврорекс, КЭ 403 
Агат-25 Супер, ТПС 725 
Агент Супер, СК 49 
Агент, ВДГ 48 
Агритокс, ВК 577 
Агро-Лайт, ВРК 505 
АгроБазон, ВР 416 
Агроксон, ВР 576 
Агролекарь, КЭ 285 
Агрон Гранд, ВДГ 536 
Агрон, ВР 535 
Агроника Гранд, МД 549 
Агроника, КС 586 
Агростар Гранд, ВДГ 659 
Агростар, ВДГ 653 
АгроСтимул, ВЭ 799 
Агростимулин, ВСР 716 
Агростраж, П 70 
Агрошанс, ВК 579 
Адванс, ВДГ 374 
Адвокат, ВР 484 
Адекват, ВР 710 
Адексар, КЭ 368 
Аденго, КС 492 
Адмирал, КЭ 127 
Азорит, СК 215 
Азорро, КС 251 
Айвенго, КЭ 28 
Айкон, КЭ 395 
Аканто Плюс, КС 277 
Акарб, ВДГ 146 
Акардо, ККР 129 
Акбарс, КЭ 665 
Акебоно, КЭ 618 
Акзифор, КЭ 588 
Акиба, ВСК 77 
Акиба, ВСК 77 
Аккорд, КЭ 25 
Аккурат, ВДГ 567 
Акрис, СЭ 491 
Акробат МЦ, ВДГ 258 
Акробат Топ, ВДГ 222 
Аксакал, КЭ 591 
Аксела, Г 179 
Аксиал 50, КЭ 592 
Аксиал Кросс, КЭ 592 
Аксиома, КС 247 
Актара, ВДГ 134 
Актеллик, КЭ 126 
Актеон, ВР 545 
Актион, КС 696 
Акцент, КЭ 528 
Алгоритм, КЭ 530 
Алиос, КС 348 
Алиот, КЭ 118 
Алирин-Б, Ж 188 
Алирин-Б, СП 186 
Алирин-Б, ТАБ 187 
Алистер Гранд, МД 546 
Аллерт, СТС 630 
Алсион, ВДГ 629 
АлтАльф, КЭ 23 
Алтис, ВДГ 613 
АлтСил, КС 313 
Алтын, КЭ 103 
Альбит, ТПС 282 
Алькасар, КС 233 
Алькор, КС 385 
Альпари, КЭ 299 
Альтаир, КЭ 24 
Альтерр, КЭ 24 
Альто Супер, КЭ 296 
Альто Турбо, КЭ 296 
Альтруист, КЭ 210 
Альтруист, СК 210 
АЛЬФА БРИГАДИР, КЭ 701 
Альфа Ринг, КЭ 29 
АЛЬФА СТАР, ВДГ 651 
Альфа Тигр, КЭ 686 
Альфа Феникс, КС 372 
Альфа-Амиприд, РП 47  
Альфа-Гард, ВДГ 630 
Альфа-Дикамба, ВРК 482 
Альфа-Дикват, ВР 706 
Альфа-Директор, КЭ 66 
Альфа-Пиралид, ВР 541 
Альфа-Прометрин, КС 593 
Альфа-Протравитель, ТКС 239 
Альфа-Серф, ВК 85 
Альфа-Ципи, КЭ 24 
Альфабел, КЭ 30 
Альфаметрин, КЭ 23 
Альфаплан, КС 30 
Альфастим, ВЭ 869 
Альфатек, КЭ 25 
Альфацин, КЭ 23 
Альфин, ТАБ 46 
Альянс, ВР 409 
Аметил, ВРК 577 
Аминка ФЛО, КЭ 396 
Аминка ЭФ, КЭ 394 
Аминка, ВР 392 
Аминопелик, ВР 392 
Амистар Голд, СК 207 
Амистар Нэкст, МД 22 
Амистар Топ, СК 216 
Амистар Трио, КЭ 291 
Амистар Экстра, СК 214 
Ампир Экстра, ВР 465 
Ампир, ВР 455 
Амплиго, МКС 114 
Анемон, КЭ 301 
Анкер Трио, КС 332 
Анкор-85, ВДГ 622 
Ансамбль, КС 337 
Антарес, ВК 580 
Антивылегач, BP 874 
Антимышин, ГР 165 
Антитлин, П 124 
Антракол, ВДГ 302 
Апекс, МКЭ 127 
Аполло, КС 102 
Апплауд, СП 52 
Априори, ВДГ 548 
Апрон Голд, ВЭ 273 
Арабеск, СЭ 412 
Арбалет, СЭ 399 
Арбитр АГ, СП 661 
Арбитр, СП 661 
Арбонал, ВК 507 
Аргамак, ВДГ 649 
Арго Прим, МЭ 673 
АРГО, МЭ 674 
Аргумент Стар, ВР 470 
Аргумент, ВР 456 
Аргумент, ВР 456 
Аристократ Супер, ВР 453 
Аристократ, ВР 447 
Ария, КС 147 
Аркан, ВДГ 616 
Армин, КЭ 29 
Арпад, ВДГ 613 
Арриво, КЭ 156 
Артафит, ВРК 856 
Артист, ВДГ 686 
Артстар, ВДГ 643 
Архитект, СЭ 281 
Архитект, СЭ 281 
Ас, ВК 507 
Аспид, СК 132 
Ассолюта Прайм, МК 404 
Ассолюта, МК 401 
Астэрикс, СЭ 407 
Атаброн, КС 152 
Атлант Супер, КЭ 301 
Атлант, КЭ 285 
Атлет, ВР 873 
Атоник Плюс, ВР 834 
Атрикс, КЭ 25 
АтронПро, ВДГ 509 
Аттик, КС 233 
Афродита 250, КС 206 
Аффет, КС 275 
Ацетал Про, КЭ 597 
Ацидан, СП 259 
Ацифект, ВК 416 
Аякс, КС 207 

Б
Б-360, ВР 808 
Багира, КЭ 518 
Багрец, КС 363 
Базагран, BР 419 
Базис, СТС 615 
Байзафон, СП 346 
Бакара Форте, КС 490 
Баксис, Ж 185 
Бактерра, СП 185 
Бактороденцид, ПР 165 
Бактофит, СК 191 
Бактофит, СП 189 
Бактофорт, Ж 923 
Балая, КЭ 576 
Балерина Супер, СЭ 404 
Балерина Форте, СЭ 404 
Балерина, СЭ 406 
Балет, КЭ 395 
Балий, КМЭ 290 
Балинт, КС 377 
Бампер Супер, КЭ 308  
Банджо Форте, КС 358 
Бандур, КС 414 
Банко, КС 380 
Баргузин, Г 58 
Баритон Супер, КС 306 
Баритон, КС 307 
Барон, ВР 423 
Баста, ВР 473 
Баста, ВР 473 
Батлер, КС 358 
Батор, КС 95 
Батор, КС 95 
Батор, КС 95 
Батрайдер, СК 31 
Бегин Турбо, КС 620 
Бегин, КЭ 617 
Беллис, ВДГ 221 
Белт, КС 148 
Бельведер Форте, СЭ 699 
Бельведер, СЭ 475 
Бен Гур, ВДГ 651 
Беназол, СП 219 
Беневия, МД 152 
Бенефис Суприм, МЭ 242 
Бенефис, МЭ 238 
Бенито, ККР 423 
Беномил 500, СП 218 
Бенорад, СП 219 
Бенрил, ВДГ 641 
Бентазолин, ВР 417 
Бентасил, ВР 419 
Бентекс, ВР 424 
Бентилон, ВР 417 
Бентобел, ВР 417 
Бентограм, ВР 418 
Бентус, ВР 421 
Берелин, ВРП 779 
Беретта, МД 52 
Берилл, КЭ 520 
Берилл, КЭ 520 
Беркана, ВРК 730 
Бетакем, КЭ 699 
Бетанал 22, КЭ 474 
Бетанал Прогресс ОФ, КЭ 697 
Бетанал Эксперт ОФ, КЭ 697 
Бетаниум 22, КЭ 475 
Бетарен 22, МКЭ 476 
Бетарен Супер МД, МКЭ 662 
Бетарен Экспресс АМ, КЭ 662 
Бетахим 22, КЭ 475 
Бетахим Эксперт, КЭ 697 
Бетацвай, КЭ 475 
Беташанс Дабл, КЭ 664 
Бетинол 22, КЭ 476 
Бетинол Плюс, КЭ 701 
Бетинол, КЭ 477 
Би-58 Топ, КЭ 63 
Бигус, ВР 793 
Бизон Эдванс, КЭ 427 
Бизон, ВК 424 
Биммер, КЭ 62 
Бинадин, КЭ 62 
Бинал, Ж 931 
Бинорам, Ж 197 
Биоcлип БТ, П 14 
Биоcтоп, Ж 15 
Биоагро-РР, Ж 883 
Биоверт, СП 16 
Биодукс, Ж 760 
Биокилл, КЭ 21 
Биокомпозит-Про, Ж 196 
Биолан Супер, ВР 393 
БиоЛарикс, ВРК 798 
Биосил, ВЭ 870 
Биослип БВ, Ж 895 
Биостоп, Ж 894 
Биосфера-Фунгимен, Ж 907 
Биотлин Бау, ВР 78 
Биотлин, ВРК 77 
Биотран, КРП 873 
Бис-300, ВР 533 
Биская, МД 132 
БисолбиСан, Ж 193 
Бисолбицид, Ж 189 
Битатрин, КЭ 703 
БитЛайт, КС 660 
Битоксибациллин, П 12 
Бифас, КС 91 
Бифор 22, ВСК 475 
Бифор 22, КЭ 474 
Бифор Прогресс, ВСК 699 
Бифор Супер, МЭ 703 
Бихард, СЭ 397 
Бицепс 22, КЭ 474 
Бицепс Гарант, КЭ 699 
